"","ID_student","first","second","third"
"140","800",3,6,5
"141","801",4,3,6
"142","802",3,6,5
"143","803",1,3,6
"144","805",3,6,5
"145","807",3,6,5
"146","808",2,3,6
"147","810",5,3,6
"148","812",5,3,6
"149","814",4,3,6
"150","817",2,3,6
"151","818",5,3,6
"152","823",4,3,6
"153","825",3,6,5
"154","829",2,1,3
"155","835",3,6,5
"156","836",3,6,5
"157","839",3,6,5
"158","841",3,6,5
"159","842",6,2,3
"160","843",3,6,5
"161","845",6,3,5
"162","846",1,3,6
"163","847",2,3,6
"164","848",6,3,5
"165","849",3,6,5
"166","850",3,6,5
"167","851",5,3,6
"168","852",3,6,5
"169","853",2,3,6
"170","854",2,3,6
"171","855",6,1,3
"172","856",2,3,6
"173","858",5,3,6
"174","860",3,6,5
"175","861",3,6,5
"176","862",3,6,5
"177","863",3,2,6
"178","864",3,6,5
"179","865",5,3,6
"180","866",5,3,6
"181","869",3,6,5
"182","870",6,3,5
"183","874",3,6,5
"184","875",6,3,5
"185","876",3,6,5
"186","878",5,3,6
"187","880",5,3,6
"188","881",5,3,6
"189","885",1,3,6
"190","886",4,3,6
"191","887",2,3,6
"192","888",1,3,6
"193","891",2,3,6
"194","892",1,3,6
"195","893",6,1,3
"196","894",3,6,5
"197","895",6,3,5
"198","896",3,6,5
"199","897",5,4,3
"200","898",1,3,6
"201","899",4,3,6
"202","900",3,6,5
"203","901",3,6,5
"204","902",6,3,5
"205","904",5,3,6
"206","905",6,3,5
"207","906",6,3,5
"208","907",6,3,5
"209","908",3,6,5
"210","910",6,3,5
"211","911",3,4,6
"212","912",3,6,5
"213","913",3,6,5
"214","915",3,6,5
"215","916",1,3,6
"216","917",3,4,6
"217","919",3,5,6
"218","920",5,1,3
"219","921",5,3,6
"220","922",2,3,6
"221","923",2,3,6
"222","924",3,6,5
"223","925",3,6,5
"224","926",2,3,6
"225","927",2,3,6
"226","928",4,3,6
"227","929",4,3,6
"228","930",6,3,5
"229","933",5,3,6
"230","934",3,6,5
"231","935",5,3,6
"232","936",6,3,5
"233","937",3,6,5
"234","938",6,3,5
"235","939",5,3,6
"236","940",4,3,6
"237","941",1,3,6
"238","942",2,3,6
"239","943",5,3,6
"240","944",2,3,6
"241","945",4,3,6
"242","946",4,3,6
"243","947",4,3,6
"244","948",4,3,6
"245","950",2,3,6
"246","951",5,3,6
"247","952",5,3,6
"248","953",4,3,6
"249","955",6,2,3
"250","956",6,3,5
"251","957",4,3,6
"252","959",1,3,6
"253","961",5,3,6
"254","962",3,6,5
"255","963",6,3,5
"256","964",6,3,5
"257","965",4,3,6
"258","967",1,3,6
"259","968",3,6,5
"260","969",1,3,6
"261","970",1,3,6
"262","974",3,2,6
"263","975",3,6,5
"264","976",3,6,5
"265","977",6,3,5
"266","978",5,3,6
"267","979",3,6,5
"268","980",3,5,6
"269","981",6,3,5
"270","982",6,3,5
"271","983",5,3,6
"272","984",3,6,5
"273","985",6,3,5
"274","986",1,3,6
